phon_1,ɨ
phon_2,ø
phon_3,ɜ
phon_3_slash,ɞ
phon_3_long,ɜː
phon_4,ɾ
phon_5,lˠ
phon_6,ɐ
phon_7,ɤ
phon_8,ɵ
phon_9,œ
phon_9_maj,ɶ
phon_9_nas,œ̃
phon_a,a
phon_a_centr,ä
phon_a_maj,ɑ
phon_a_maj_long,ɑː
phon_a_maj_nas,ɑ̃
phon_arobase,ə
phon_arobase_rho,ɚ
phon_arobase_slash,ɘ
phon_b,b
phon_b_chev,ɓ
phon_b_maj,β
phon_b_maj_slash,ʙ
phon_c,c
phon_c_maj,ç
phon_cbrack,æ
phon_cbrack2,ʉ
phon_chevron_slash,ʢ
phon_chevron2_slash,ʡ
phon_d,d
phon_d_chev,ɗ
phon_d_maj,ð
phon_d_retr,ɖ
phon_e,e
phon_e_maj,ɛ
phon_e_maj_nas,ɛ̃
phon_egal_slash,ǂ
phon_exclam_slash,ǃ
phon_f,f
phon_f_maj,ɱ
phon_g,ɡ
phon_g_chev,ɠ
phon_g_maj,ɣ
phon_g_maj_slash,ɢ
phon_g_maj_slash_chev,ʛ
phon_h,h
phon_h_maj,ɥ
phon_h_maj_slash,ʜ
phon_h_slash,ɦ
phon_i,i
phon_i_long,iː
phon_i_maj,ɪ
phon_interrog,ʔ
phon_interrog_slash,ʕ
phon_j,j
phon_j_slash,ʝ
phon_j_maj_slash,ɟ
phon_j_maj_slash_chev,ʄ
phon_k,k
phon_k_chev2,kʼ
phon_k_h,kʰ
phon_k_maj,ɬ
phon_k_maj_slash,ɮ
phon_l,l
phon_l_maj,ʎ
phon_l_maj_slash,ʟ
phon_l_retr,ɭ
phon_m,m
phon_m_maj,ɯ
phon_m_maj_slash,ɰ
phon_n,n
phon_n_maj,ŋ
phon_n_maj_slash,ɴ
phon_n_retr,ɳ
phon_o,o
phon_o_maj,ɔ
phon_o_maj_long,ɔː
phon_o_maj_nas,ɔ̃
phon_o_maj_slash,ʘ
phon_p,p
phon_p_chev2,pʼ
phon_p_d,p̪
phon_p_h,pʰ
phon_p_maj,ʋ
phon_p_slash,ɸ
phon_pipe_slash,ǀ
phon_pipe_slashpipe_slash,ǁ
phon_q,q
phon_q_chev2,qʼ
phon_q_maj,ɒ
phon_r,r
phon_r_0,r̥
phon_r_maj,ʁ
phon_r_maj_slash,ʀ
phon_r_retr,ɽ
phon_r_slash,ɹ
phon_r_slash_retr,ɻ
phon_s,s
phon_s_chev2,sʼ
phon_s_maj,ʃ
phon_s_maj_chev2,ʃʼ
phon_s_retr,ʂ
phon_s_slash,ɕ
phon_t,t
phon_ts,ts
phon_t_chev2,tʼ
phon_t_h,tʰ
phon_t_maj,θ
phon_t_retr,ʈ
phon_t_retr_chev2,ʈʼ
phon_u,u
phon_u_long,uː
phon_u_maj,ʊ
phon_v,v
phon_v_flap,ⱱ
phon_v_maj,ʌ
phon_w,w
phon_w_maj,ʍ
phon_x,x
phon_x_chev2,xʼ
phon_x_maj,χ
phon_x_maj_slash,ħ
phon_x_slash,ɧ
phon_y,y
phon_y_maj,ʏ
phon_z,z
phon_z_maj,ʒ
phon_z_retr,ʐ
phon_z_slash,ʑ
phon_schwi,pour l'anglais i/ɪ
phon_schwa,pour l'anglais ə
phon_schwu,pour l'anglais u/ʊ
phon_ai_maj,aɪ
phon_au_maj,aʊ
phon_arobasel,əl
phon_arobasem,əm
phon_arobasen,ən
phon_arobaseu_maj,əʊ
phon_dz,d͡z
phon_dz_maj,d͡ʒ
phon_dz_retr,ɖ͡ʐ
phon_dz_slash,d͡ʑ
phon_ef,ef
phon_ei_maj,eɪ
phon_earobase,eə
phon_i_majarobase,ɪə
phon_ju_majarobase,jʊə
phon_gb,ɡ͡b
phon_gz,ɡz
phon_gz_maj,ɡʒ
phon_h_maj_i,ɥi
phon_ij,ij
phon_j_maj,ɲ
phon_ju_long,juː
phon_kp,k͡p
phon_ks,k͡s
phon_ks_maj,kʃ
phon_kx,k͡x
phon_kw,kw
phon_nj,ɲ/nj
phon_o_maji_maj,ɔɪ
phon_pf,p͡f
phon_tk_maj,t͡ɬ
phon_tk_maj_slash,d͡ɮ
phon_ts,t͡s
phon_ts_chev2,t͡sʼ
phon_ts_maj,t͡ʃ
phon_ts_maj_chev2,t͡ʃʼ
phon_ts_retr,ʈ͡ʂ
phon_ts_slash,t͡ɕ
phon_u_majarobase,ʊə
phon_wa,wa
phon_wa_maj,wɑ
phon_wa_maj_long,wɑː
phon_wai_maj,waɪ
phon_we_maj_nas,wɛ̃
phon_wv_maj,wʌ
phon_schwju,ju/jʊ
phon_schwiz,iz/ɪz
phon_schwaz,əz
